ds,y
21/10/2020,18
20/10/2020,12
19/10/2020,11
18/10/2020,8
17/10/2020,16
16/10/2020,8
15/10/2020,6
14/10/2020,6
13/10/2020,5
12/10/2020,9
11/10/2020,9
10/10/2020,6
9/10/2020,5
8/10/2020,8
7/10/2020,6
6/10/2020,8
5/10/2020,7
4/10/2020,8
3/10/2020,4
2/10/2020,5
1/10/2020,6
30/09/2020,1
29/09/2020,5
28/09/2020,1
27/09/2020,5
26/09/2020,4
25/09/2020,3
24/09/2020,3
23/09/2020,5
22/09/2020,3
21/09/2020,3
20/09/2020,4
19/09/2020,0
18/09/2020,3
17/09/2020,3
16/09/2020,4
15/09/2020,0
14/09/2020,1
13/09/2020,0
12/9/2020,2
11/9/2020,4
10/9/2020,4
9/9/2020,0
8/9/2020,1
7/9/2020,0
6/9/2020,0
5/9/2020,0
4/9/2020,2
3/9/2020,0
2/9/2020,0
1/9/2020,1
31/08/2020,1
30/08/2020,0
29/08/2020,0
28/08/2020,0
27/08/2020,0
26/08/2020,0
25/08/2020,0
24/08/2020,1
23/08/2020,0
22/08/2020,0
21/08/2020,1
20/08/2020,0
19/08/2020,1
18/08/2020,0
17/08/2020,0
16/08/2020,0
15/08/2020,0
14/08/2020,1
13/08/2020,2
12/8/2020,1
11/8/2020,2
10/8/2020,0
9/8/2020,0
8/8/2020,1
7/8/2020,1
6/8/2020,1
5/8/2020,1
4/8/2020,0
3/8/2020,0
2/8/2020,1
1/8/2020,0
31/07/2020,0
30/07/2020,0
29/07/2020,1
28/07/2020,0
27/07/2020,3
26/07/2020,0
25/07/2020,1
24/07/2020,0
23/07/2020,1
22/07/2020,0
21/07/2020,0
20/07/2020,2
19/07/2020,0
18/07/2020,0
17/07/2020,0
16/07/2020,0
15/07/2020,1
14/07/2020,0
13/07/2020,1
12/7/2020,1
11/7/2020,2
10/7/2020,0
9/7/2020,0
8/7/2020,0
7/7/2020,0
6/7/2020,0
5/7/2020,0
4/7/2020,0
3/7/2020,1
2/7/2020,0
1/7/2020,0
30/06/2020,0
29/06/2020,1
28/06/2020,1
27/06/2020,2
26/06/2020,0
25/06/2020,1
24/06/2020,2
23/06/2020,2
22/06/2020,1
21/06/2020,1
20/06/2020,2
19/06/2020,1
18/06/2020,0
17/06/2020,1
16/06/2020,2
15/06/2020,5
14/06/2020,3
13/06/2020,1
12/6/2020,0
11/6/2020,0
10/6/2020,2
9/6/2020,2
8/6/2020,1
7/6/2020,0
6/6/2020,0
5/6/2020,1
4/6/2020,2
3/6/2020,3
2/6/2020,0
1/6/2020,1
31/05/2020,0
30/05/2020,0
29/05/2020,1
28/05/2020,0
27/05/2020,0
26/05/2020,2
25/05/2020,1
24/05/2020,0
23/05/2020,1
22/05/2020,3
21/05/2020,2
20/05/2020,3
19/05/2020,1
18/05/2020,3
17/05/2020,1
16/05/2020,1
15/05/2020,0
14/05/2020,3
13/05/2020,1
12/5/2020,1
11/5/2020,2
10/5/2020,2
9/5/2020,4
8/5/2020,5
7/5/2020,2
6/5/2020,4
5/5/2020,3
4/5/2020,3
3/5/2020,6
2/5/2020,2
1/5/2020,3
30/04/2020,6
29/04/2020,6
28/04/2020,13
27/04/2020,4
26/04/2020,9
25/04/2020,14
24/04/2020,7
23/04/2020,6
22/04/2020,12
21/04/2020,18
20/04/2020,9
19/04/2020,16
18/04/2020,17
17/04/2020,13
16/04/2020,22
15/04/2020,15
14/04/2020,13
13/04/2020,21
12/4/2020,12
11/4/2020,17
10/4/2020,23
9/4/2020,22
8/4/2020,17
7/4/2020,29
6/4/2020,31
5/4/2020,22
4/4/2020,20
3/4/2020,18
2/4/2020,20
1/4/2020,11
31/03/2020,18
30/03/2020,21
29/03/2020,14
28/03/2020,19
27/03/2020,20
26/03/2020,16
25/03/2020,9
24/03/2020,10
23/03/2020,12
22/03/2020,8
21/03/2020,6
20/03/2020,5
19/03/2020,3
18/03/2020,5
17/03/2020,2
16/03/2020,2
15/03/2020,1
14/03/2020,1
13/03/2020,0
12/3/2020,1
11/3/2020,0
10/3/2020,0
9/3/2020,0
8/3/2020,0
7/3/2020,0
6/3/2020,0
5/3/2020,0
4/3/2020,0
3/3/2020,0
2/3/2020,0
1/3/2020,0
29/02/2020,0
28/02/2020,0
27/02/2020,0
26/02/2020,0
10/3/2022,3
9/3/2022,20
8/3/2022,29
7/3/2022,14
6/3/2022,9
5/3/2022,18
4/3/2022,21
3/3/2022,15
2/3/2022,21
1/3/2022,19
28/02/2022,16
27/02/2022,24
26/02/2022,20
25/02/2022,28
24/02/2022,21
23/02/2022,19
22/02/2022,29
21/02/2022,22
20/02/2022,31
19/02/2022,24
18/02/2022,47
17/02/2022,42
16/02/2022,33
15/02/2022,42
14/02/2022,52
13/02/2022,38
12/2/2022,39
11/2/2022,46
10/2/2022,67
9/2/2022,55
8/2/2022,47
7/2/2022,36
6/2/2022,40
5/2/2022,36
4/2/2022,61
3/2/2022,46
2/2/2022,49
1/2/2022,40
31/01/2022,29
30/01/2022,37
29/01/2022,27
28/01/2022,45
27/01/2022,29
26/01/2022,32
25/01/2022,37
24/01/2022,26
23/01/2022,17
22/01/2022,26
21/01/2022,23
20/01/2022,17
19/01/2022,38
18/01/2022,28
17/01/2022,32
16/01/2022,20
15/01/2022,14
14/01/2022,17
13/01/2022,21
12/1/2022,23
11/1/2022,24
10/1/2022,25
9/1/2022,23
8/1/2022,17
7/1/2022,19
6/1/2022,19
5/1/2022,14
4/1/2022,17
3/1/2022,25
2/1/2022,15
1/1/2022,22
31/12/2021,16
30/12/2021,29
29/12/2021,34
28/12/2021,21
27/12/2021,28
26/12/2021,22
25/12/2021,20
24/12/2021,35
23/12/2021,36
22/12/2021,37
21/12/2021,36
20/12/2021,36
19/12/2021,38
18/12/2021,36
17/12/2021,26
16/12/2021,37
15/12/2021,41
14/12/2021,37
13/12/2021,43
12/12/2021,44
11/12/2021,45
10/12/2021,48
9/12/2021,35
8/12/2021,55
7/12/2021,49
6/12/2021,39
5/12/2021,57
4/12/2021,45
3/12/2021,48
2/12/2021,53
1/12/2021,43
30/11/2021,61
29/11/2021,45
28/11/2021,47
27/11/2021,48
26/11/2021,40
25/11/2021,44
24/11/2021,49
23/11/2021,38
22/11/2021,35
21/11/2021,36
20/11/2021,36
19/11/2021,33
18/11/2021,43
17/11/2021,42
16/11/2021,29
15/11/2021,46
14/11/2021,27
13/11/2021,20
12/11/2021,39
11/11/2021,32
10/11/2021,26
9/11/2021,27
8/11/2021,28
7/11/2021,15
6/11/2021,30
5/11/2021,25
4/11/2021,26
3/11/2021,17
2/11/2021,20
1/11/2021,25
31/10/2021,18
30/10/2021,16
29/10/2021,21
28/10/2021,18
27/10/2021,33
26/10/2021,27
25/10/2021,18
24/10/2021,16
23/10/2021,20
22/10/2021,18
21/10/2021,10
20/10/2021,14
19/10/2021,13
18/10/2021,19
17/10/2021,10
16/10/2021,14
15/10/2021,18
14/10/2021,10
13/10/2021,8
12/10/2021,13
11/10/2021,18
10/10/2021,4
9/10/2021,11
8/10/2021,7
7/10/2021,11
6/10/2021,13
5/10/2021,14
4/10/2021,5
3/10/2021,8
2/10/2021,8
1/10/2021,6
30/09/2021,11
29/09/2021,7
28/09/2021,7
27/09/2021,13
26/09/2021,7
25/09/2021,7
24/09/2021,7
23/09/2021,11
22/09/2021,11
21/09/2021,5
20/09/2021,6
19/09/2021,7
18/09/2021,9
17/09/2021,5
16/09/2021,1
15/09/2021,7
14/09/2021,8
13/09/2021,7
12/9/2021,7
11/9/2021,7
10/9/2021,7
9/9/2021,6
8/9/2021,9
7/9/2021,9
6/9/2021,7
5/9/2021,8
4/9/2021,10
3/9/2021,6
2/9/2021,6
1/9/2021,7
31/08/2021,4
30/08/2021,5
29/08/2021,4
28/08/2021,4
27/08/2021,5
26/08/2021,6
25/08/2021,7
24/08/2021,6
23/08/2021,3
22/08/2021,7
21/08/2021,7
20/08/2021,9
19/08/2021,9
18/08/2021,4
17/08/2021,3
16/08/2021,5
15/08/2021,2
14/08/2021,4
13/08/2021,5
12/8/2021,3
11/8/2021,2
10/8/2021,2
9/8/2021,5
8/8/2021,3
7/8/2021,3
6/8/2021,3
5/8/2021,3
4/8/2021,4
3/8/2021,5
2/8/2021,5
1/8/2021,1
31/07/2021,3
30/07/2021,6
29/07/2021,6
28/07/2021,1
27/07/2021,4
26/07/2021,1
25/07/2021,2
24/07/2021,3
23/07/2021,2
22/07/2021,4
21/07/2021,3
20/07/2021,
19/07/2021,
18/07/2021,2
17/07/2021,
16/07/2021,2
15/07/2021,2
14/07/2021,1
13/07/2021,
12/7/2021,2
11/7/2021,
10/7/2021,5
9/7/2021,2
8/7/2021,2
7/7/2021,
6/7/2021,1
5/7/2021,3
4/7/2021,2
3/7/2021,3
2/7/2021,3
1/7/2021,5
30/06/2021,2
29/06/2021,5
28/06/2021,2
27/06/2021,3
26/06/2021,2
25/06/2021,5
24/06/2021,5
23/06/2021,5
22/06/2021,3
21/06/2021,5
20/06/2021,3
19/06/2021,6
18/06/2021,9
17/06/2021,7
16/06/2021,6
15/06/2021,6
14/06/2021,6
13/06/2021,4
12/6/2021,6
11/6/2021,9
10/6/2021,7
9/6/2021,6
8/6/2021,13
7/6/2021,5
6/6/2021,7
5/6/2021,13
4/6/2021,10
3/6/2021,15
2/6/2021,16
1/6/2021,11
31/05/2021,14
30/05/2021,18
29/05/2021,16
28/05/2021,11
27/05/2021,6
26/05/2021,14
25/05/2021,16
24/05/2021,19
23/05/2021,11
22/05/2021,18
21/05/2021,19
20/05/2021,16
19/05/2021,25
18/05/2021,17
17/05/2021,24
16/05/2021,17
15/05/2021,22
14/05/2021,20
13/05/2021,21
12/5/2021,19
11/5/2021,17
10/5/2021,28
9/5/2021,32
8/5/2021,42
7/5/2021,26
6/5/2021,38
5/5/2021,38
4/5/2021,40
3/5/2021,43
2/5/2021,34
1/5/2021,28
30/04/2021,33
29/04/2021,46
28/04/2021,49
27/04/2021,26
26/04/2021,44
25/04/2021,39
24/04/2021,36
23/04/2021,42
22/04/2021,43
21/04/2021,36
20/04/2021,36
19/04/2021,50
18/04/2021,35
17/04/2021,30
16/04/2021,45
15/04/2021,42
14/04/2021,39
13/04/2021,37
12/4/2021,44
11/4/2021,22
10/4/2021,46
9/4/2021,44
8/4/2021,43
7/4/2021,43
6/4/2021,46
5/4/2021,49
4/4/2021,36
3/4/2021,40
2/4/2021,46
1/4/2021,40
31/03/2021,31
30/03/2021,33
29/03/2021,31
28/03/2021,23
27/03/2021,28
26/03/2021,20
25/03/2021,34
24/03/2021,27
23/03/2021,24
22/03/2021,34
21/03/2021,24
20/03/2021,24
19/03/2021,31
18/03/2021,26
17/03/2021,25
16/03/2021,28
15/03/2021,25
14/03/2021,20
13/03/2021,25
12/3/2021,20
11/3/2021,27
10/3/2021,24
9/3/2021,23
8/3/2021,36
